epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.4426,2.6186,8.41838,0.71633,3.76659,2.42849,0.95088,0.96222,0.99148,0.74657,0.03655,0.03556,0.00908,0.00164,1.04945,6.65825,0.75579,0.65242,0.95716,0.0019875,0.0006625,0.0019875,0.0006625,0.0019875,0.0006625,0.0019875,0.0006625
2,148.803,0.80166,1.96578,0.60404,0.63299,0.96591,0.99457,1,0.99491,0.83573,0.99457,1,0.99491,0.94941,0.76473,1.18542,0.50656,0.49543,0.87498,0.00394802,0.00131601,0.00394802,0.00131601,0.00394802,0.00131601,0.00394802,0.00131601
3,213.822,0.71222,0.57886,0.4113,0.52949,0.9197,0.99776,0.99079,0.99498,0.83717,0.99776,0.99079,0.99498,0.99136,0.70459,0.23638,0.2923,0.50204,0.86224,0.00586895,0.00195632,0.00586895,0.00195632,0.00586895,0.00195632,0.00586895,0.00195632
4,277.867,0.66043,0.29049,0.28417,0.4991,0.90295,0.99778,0.99829,0.995,0.82205,0.99778,0.99829,0.995,0.9775,0.73756,0.24126,0.14739,0.49389,0.92501,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,341.688,0.59917,0.20599,0.19461,0.46107,0.89312,0.99917,0.98889,0.99493,0.83948,0.99917,0.98889,0.99493,0.97932,0.74148,0.17182,0.06719,0.56181,0.92239,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,405.732,0.5735,0.17738,0.13345,0.43682,0.88546,0.98624,0.98444,0.9946,0.86764,0.98624,0.98444,0.9946,0.97197,0.56973,0.30459,0.05062,0.4842,0.87236,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,469.765,0.53353,0.1486,0.11023,0.41564,0.87411,0.98936,0.99111,0.9948,0.89073,0.98936,0.99111,0.9948,0.9948,0.60989,0.14648,0.03738,0.54919,0.88453,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,534.071,0.51042,0.13339,0.08608,0.39646,0.8706,0.96537,0.95333,0.99091,0.87022,0.96537,0.95333,0.99091,0.98997,0.58608,0.15254,0.05163,0.62904,0.83338,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,597.86,0.49453,0.12673,0.07458,0.38302,0.86657,0.96418,0.95696,0.99131,0.84204,0.96418,0.95696,0.99131,0.9908,0.62882,0.12004,0.03145,0.59053,0.87057,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,661.627,0.48118,0.11589,0.06497,0.3705,0.86252,0.99767,0.94948,0.99273,0.88244,0.99767,0.94948,0.99273,0.99265,0.59865,0.12699,0.02328,0.45513,0.86459,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,725.407,0.45698,0.0963,0.05911,0.35673,0.86103,0.99957,0.98889,0.99498,0.87147,0.99957,0.98889,0.99498,0.99498,0.67886,0.0705,0.02049,0.54662,0.83627,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,787.858,0.45275,0.09022,0.05338,0.34742,0.85911,0.98166,0.96444,0.99204,0.87562,0.98166,0.96444,0.99204,0.99192,0.61105,0.10448,0.02577,0.59604,0.85287,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,850.95,0.43922,0.08651,0.04919,0.34421,0.85148,0.97655,0.97111,0.99369,0.8799,0.97655,0.97111,0.99369,0.99369,0.64319,0.09216,0.03065,0.58715,0.85792,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,913.831,0.42966,0.08593,0.04263,0.33075,0.85309,0.9663,0.95589,0.98975,0.87839,0.9663,0.95589,0.98975,0.98909,0.56844,0.06893,0.01458,0.66251,0.83612,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,977.024,0.41512,0.0739,0.04362,0.32676,0.85278,0.97074,0.97111,0.9928,0.90185,0.97074,0.97111,0.9928,0.9928,0.53924,0.05545,0.01774,0.50065,0.81418,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,1040.01,0.41219,0.0791,0.04065,0.32858,0.85251,0.96638,0.96667,0.99237,0.88176,0.96638,0.96667,0.99237,0.992,0.61086,0.09818,0.02316,0.56539,0.82951,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,1103.24,0.4089,0.0688,0.03862,0.32171,0.84908,0.99912,0.98667,0.99485,0.89264,0.99912,0.98667,0.99485,0.99485,0.55666,0.04777,0.01097,0.44397,0.82312,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,1166.42,0.3882,0.0639,0.03315,0.31084,0.84614,0.96373,0.94482,0.99014,0.86129,0.96373,0.94482,0.99014,0.98933,0.6592,0.0812,0.01738,0.7136,0.83439,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,1229.23,0.38224,0.06148,0.0334,0.30892,0.84588,0.98029,0.98444,0.99368,0.8729,0.98029,0.98444,0.99368,0.99368,0.59342,0.06284,0.01509,0.53342,0.83375,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
