epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.681,2.26315,4.28072,3.70411,1.97316,0,0.006,0.23684,0.02832,0.00935,0.00267,0.10526,0.01706,0.00216,2.16053,3.04275,3.66574,1.81826,0,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012
2,185.134,1.98485,4.0425,3.67964,1.81485,0,0.007,0.27632,0.0312,0.01048,0.00333,0.13158,0.01784,0.00517,2.12509,2.97177,3.64996,1.77572,0,0.000764556,0.000254852,0.000764556,0.000254852,0.000764556,0.000254852,0.000764556,0.000254852
3,266.154,2.03719,3.94346,3.63037,1.83994,0,0.00667,0.26316,0.03241,0.01229,0.004,0.15789,0.01765,0.00388,2.06439,2.86874,3.63522,1.72731,0,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
4,349.048,1.69518,3.25089,3.54866,1.59571,0,0.00733,0.28947,0.0458,0.01703,0.00433,0.17105,0.01858,0.00337,1.98854,2.7557,3.61157,1.67613,0,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924
5,419.496,1.72586,3.05181,3.37693,1.57704,0,0.00767,0.30263,0.05323,0.01836,0.0055,0.21711,0.01657,0.00319,1.90716,2.5624,3.57612,1.59925,0,0.00187843,0.000626144,0.00187843,0.000626144,0.00187843,0.000626144,0.00187843,0.000626144
6,489.051,1.54762,2.68892,3.37051,1.45748,0,0.0085,0.33553,0.06278,0.023,0.00667,0.26316,0.02209,0.00514,1.78251,2.34789,3.52831,1.51125,0,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882
7,551.449,1.64864,2.9799,3.28264,1.514,0,0.00883,0.34868,0.05971,0.02047,0.0075,0.29605,0.02772,0.00787,1.70857,2.25344,3.4817,1.44748,0,0.00253786,0.000845952,0.00253786,0.000845952,0.00253786,0.000845952,0.00253786,0.000845952
8,621.762,1.53168,2.47278,3.24796,1.391,0,0.01133,0.44737,0.05873,0.02198,0.0105,0.41447,0.03798,0.01119,1.57813,2.09206,3.39349,1.31316,0,0.00284262,0.00094754,0.00284262,0.00094754,0.00284262,0.00094754,0.00284262,0.00094754
9,684.409,1.42046,2.29089,3.16378,1.3524,0,0.01217,0.48026,0.05844,0.02201,0.01183,0.46711,0.04933,0.01494,1.53752,2.00992,3.35366,1.26895,0,0.00313075,0.00104358,0.00313075,0.00104358,0.00313075,0.00104358,0.00313075,0.00104358
10,747.563,1.36305,2.37941,3.03623,1.27303,0,0.01267,0.5,0.06449,0.02559,0.01267,0.5,0.06096,0.01818,1.50643,1.95676,3.31897,1.2396,0,0.00340225,0.00113408,0.00340225,0.00113408,0.00340225,0.00113408,0.00340225,0.00113408
